docid,lang
test0000,fr
test0001,mr
test0002,ur
test0003,it
test0004,en
test0005,mr
test0006,en
test0007,it
test0008,mr
test0009,de
test0010,it
test0011,fa
test0012,es
test0013,de
test0014,he
test0015,ru
test0016,it
test0017,fr
test0018,ar
test0019,es
test0020,en
test0021,it
test0022,it
test0023,it
test0024,fa
test0025,en
test0026,hi
test0027,en
test0028,es
test0029,hi
test0030,de
test0031,it
test0032,de
test0033,ur
test0034,de
test0035,it
test0036,he
test0037,en
test0038,he
test0039,it
test0040,en
test0041,en
test0042,it
test0043,ur
test0044,es
test0045,en
test0046,es
test0047,en
test0048,en
test0049,en
test0050,de
test0051,de
test0052,it
test0053,ar
test0054,fr
test0055,nl
test0056,it
test0057,it
test0058,fr
test0059,en
test0060,ar
test0061,de
test0062,ru
test0063,it
test0064,de
test0065,ar
test0066,es
test0067,fa
test0068,en
test0069,ar
test0070,it
test0071,de
test0072,ar
test0073,de
test0074,ko
test0075,it
test0076,es
test0077,fa
test0078,hi
test0079,it
test0080,fr
test0081,it
test0082,es
test0083,fa
test0084,nl
test0085,en
test0086,ru
test0087,es
test0088,de
test0089,nl
test0090,it
test0091,fa
test0092,ko
test0093,fa
test0094,ar
test0095,mr
test0096,es
test0097,bg
test0098,en
test0099,fa
test0100,en
test0101,ru
test0102,it
test0103,ru
test0104,it
test0105,es
test0106,it
test0107,fr
test0108,it
test0109,en
test0110,ru
test0111,de
test0112,de
test0113,it
test0114,es
test0115,it
test0116,it
test0117,nl
test0118,fr
test0119,de
test0120,bg
test0121,it
test0122,de
test0123,ru
test0124,hi
test0125,en
test0126,es
test0127,bg
test0128,ur
test0129,es
test0130,nl
test0131,it
test0132,it
test0133,es
test0134,ru
test0135,it
test0136,en
test0137,ur
test0138,fa
test0139,en
test0140,fa
test0141,it
test0142,en
test0143,es
test0144,fa
test0145,hi
test0146,ru
test0147,es
test0148,de
test0149,en
test0150,es
test0151,it
test0152,es
test0153,es
test0154,it
test0155,fa
test0156,ne
test0157,it
test0158,fr
test0159,es
test0160,it
test0161,ko
test0162,es
test0163,it
test0164,es
test0165,fr
test0166,fr
test0167,ur
test0168,en
test0169,it
test0170,it
test0171,fr
test0172,fa
test0173,de
test0174,fr
test0175,ru
test0176,ur
test0177,fa
test0178,it
test0179,ne
test0180,es
test0181,hi
test0182,en
test0183,de
test0184,fr
test0185,es
test0186,ne
test0187,en
test0188,ne
test0189,ru
test0190,nl
test0191,bg
test0192,en
test0193,en
test0194,ne
test0195,fr
test0196,ru
